Participant number:,Participant study:,This voice agent made me feel: - Successful.,This voice agent made me feel: - Frustrated.,This voice agent made me feel: - Helped.,This voice agent made me feel: - Efficient.,This voice agent made me feel: - Happy.,This voice agent made me feel: - Agile.,This voice agent made me feel: - Pragmatic.,"This voice agent was: - Extraverted, enthusiastic.","This voice agent was: - Critical, quarrelsome.","This voice agent was: - Dependable, self-disciplined.","This voice agent was: - Anxious, easily upset.","This voice agent was: - Open to new experiences, complex.","This voice agent was: - Reserved, quiet.","This voice agent was: - Sympathetic, warm.","This voice agent was: - Disorganized, careless.","This voice agent was: - Calm, emotionally stable.","This voice agent was: - Conventional, uncreative.",This voice agent was: - Smart.,This voice agent was: - Trustworthy.,This voice agent was: - Likeable.,This voice agent was: - Pragmatic.,This voice agent was: - Helpful.,Did this voice agent ever make a mistake?,Did this agent ever try to repair a mistake it made?,A voice agent that always tried to correct itself after a mistake ... - ... would annoy me,A voice agent that always tried to correct itself after a mistake ... - ... would waste my time,A voice agent that always tried to correct itself after a mistake ... - ... would improve the conversation quality,A voice agent that always tried to correct itself after a mistake ... - ... would help me feel less frustrated,repair,TOTAL
P004,1,7,7,7,7,7,7,7,6,7,7,7,6,2,5,7,7,7,7,6,6,7,7,3,5,6,6,3,3,No-repair(Conditon 1 and 2),143
P005,2,2,2,2,1,2,2,2,4,4,3,7,4,3,2,7,5,2,5,4,4,4,4,1,5,9,3,5,8,No-repair(Conditon 1 and 2),75
P007,1,6,7,6,5,5,6,6,5,5,6,6,4,3,5,6,6,4,5,5,5,5,6,3,5,4,3,5,4,No-repair(Conditon 1 and 2),117
P008,2,3,3,3,5,2,3,4,6,4,3,5,3,3,5,5,3,5,5,6,5,3,3,1,5,0,0,10,10,No-repair(Conditon 1 and 2),87
P009,3,6,3,6,5,6,5,6,4,6,5,3,6,3,4,5,4,3,6,6,5,5,5,3,4,7,6,3,3,Repair(Condition 3 and 4),107
P010,1,4,6,6,6,4,3,4,6,5,5,5,3,3,4,6,5,5,5,1,5,4,6,3,5,5,5,5,5,No-repair(Conditon 1 and 2),101
P011,2,1,1,1,1,1,6,1,1,3,3,3,6,4,4,2,3,6,1,1,1,4,1,1,5,3,9,7,6,No-repair(Conditon 1 and 2),55
P013,1,6,5,2,5,6,5,5,4,6,5,6,4,5,4,6,6,5,6,7,6,5,5,3,5,4,5,3,2,No-repair(Conditon 1 and 2),114
P014,2,3,3,4,3,3,4,4,6,6,3,7,2,2,5,6,6,5,5,4,3,4,3,1,5,3,4,6,6,No-repair(Conditon 1 and 2),91
P015,3,6,6,6,5,5,6,6,5,6,6,6,7,3,5,6,7,5,6,6,6,6,6,3,4,1,1,8,8,Repair(Condition 3 and 4),126
P016,1,6,7,5,6,4,5,6,5,7,5,7,4,2,4,7,6,4,5,4,5,6,6,3,5,1,2,3,7,No-repair(Conditon 1 and 2),116
P019,4,7,3,6,6,7,7,7,7,7,2,3,5,3,3,3,4,4,5,5,6,6,5,1,4,5,1,7,7,Repair(Condition 3 and 4),111
P020,1,5,3,5,4,5,4,4,5,6,5,6,4,4,4,6,5,4,5,5,4,5,5,3,5,2,2,8,6,No-repair(Conditon 1 and 2),103
P023,4,6,2,5,2,5,3,4,7,6,6,3,5,2,6,5,5,2,5,2,6,5,5,1,4,1,1,9,10,Repair(Condition 3 and 4),97
